seller_state,product_id,product_category_name,receita_vendas
SP,bb50f2e236e5eea0100680137654686c,beleza_saude,63560.0
PR,6cdd53843498f92890544667809f1595,beleza_saude,53652.3000000001
SP,99a4788cb24856965c36a24e339b6058,cama_mesa_banho,42049.6600000004
SP,f1c7f353075ce59d8a6f3cf58f419c9c,cama_mesa_banho,29792.36
SP,2b4609f8948be18874494203496bc318,beleza_saude,22277.2700000001
MA,19c91ef95d509ea33eda93495c4d3481,beleza_saude,18643.46
SP,8c292ca193d326152e335d77176746f0,beleza_saude,13687.0
SP,7c1bd920dbdf22470b68bde975dd3ccf,beleza_saude,13187.8
RJ,25292482a61cb3298df8dbe15ea69daf,beleza_saude,12546.5
RJ,24c66f106f642621e524291a895c9032,beleza_saude,11823.5
SC,af0a99476d96dcc1a1baa7c0d9ff6b9d,beleza_saude,10661.0
SP,4c2394abfbac7ff59ec7a420918562fa,beleza_saude,10198.8
SP,84f456958365164420cfc80fbe4c7fab,cama_mesa_banho,10036.16
MA,3fbc0ef745950c7932d5f2a446189725,beleza_saude,9797.50999999997
SC,2a2d22ae30e026f1893083c8405ca522,cama_mesa_banho,9545.79999999999
SC,25f86162fee18735fffdb762dcb10d7c,cama_mesa_banho,9353.89999999999
PR,0bbdc963004d9b2fd3427ee3c5ae3608,esporte_lazer,9070.0
SP,e44f675b60b3a3a2453ec36421e06f0f,esporte_lazer,8949.1
SP,9453bde60c4ee52155c963641736cfc5,beleza_saude,8691.43
SP,c6ea63369936552872ae890c82175b4b,cama_mesa_banho,8596.75
SC,fbce4c4cb307679d89a3bf3d3bb353b9,cama_mesa_banho,8520.0
SP,fc1d8637c0268af3db482c14b7ef8e75,cama_mesa_banho,8504.29999999999
SP,fe9dfbe7f974621789683b7b78be2a16,beleza_saude,8473.29
RS,27535386be7362e36d9e78c2afb8c0e5,beleza_saude,8399.3
SC,933f4f76eae38d2a97ecfb7c6355f0bc,beleza_saude,8369.4
SP,aed75ad669fbebd5a385ac7cc2ae7573,beleza_saude,8250.0
SP,b4436da747c3a53ab07ac0e71de17dcd,esporte_lazer,7995.0
SC,f7740e5b4337a3cc4a8a204553101a85,beleza_saude,7895.5
SP,952670bc019a73f0933157ec82ff6e4f,cama_mesa_banho,7882.83
SP,2948658cb6abc82847412be7201bfc4c,beleza_saude,7760.0
SP,dd113cb02b2af9c8e5787e8f1f0722f6,esporte_lazer,7749.0
SP,437c05a395e9e47f9762e677a7068ce7,beleza_saude,7552.06999999998
SP,7614c62b86a81021243e438cfde78ccc,beleza_saude,7539.51
DF,7fb04722aba7a2b632bac8f9819796f3,beleza_saude,7185.1
SP,61937887eb6ee0b405a5759756426486,beleza_saude,7110.5
SP,363218ba55c610b750224f90bdd34be1,cama_mesa_banho,6923.32999999999
SP,64fb265487de2238627ce43fe8a67efc,cama_mesa_banho,6673.28999999999
MG,e9c1abcc7126360336d8f56d49041a8c,beleza_saude,6631.0
SC,cb26d15d1b6eabaac7c0803774245884,esporte_lazer,6567.0
SP,9545d45c37449ccbc376de3a04c66e71,beleza_saude,6563.79999999999
RJ,89f59eee27a6a49b9f0d887136c71cd4,beleza_saude,6498.25
SP,777d2e438a1b645f3aec9bd57e92672c,cama_mesa_banho,6427.99999999999
SP,781afe929e3016a667f5f439afd55fce,esporte_lazer,6416.69999999999
SP,15859e3a8aaa3c192c10a91d8722abd5,beleza_saude,6358.18
SP,11bbef4e2a44601d9dd471aa1fb433e6,beleza_saude,6279.81
SP,154e7e31ebfa092203795c972e5804a6,beleza_saude,6173.25999999996
MG,f96ff9b997681965689f78bef092fdd9,beleza_saude,6162.0
RJ,e3dd336775af78a83fc27ed85f0f15da,beleza_saude,6153.45
SP,386486367c1f9d4f587a8864ccb6902b,cama_mesa_banho,6018.35
SP,ec2d43cc59763ec91694573b31f1c29a,cama_mesa_banho,6011.76999999999
CE,06abf4be826ed1d548e8a22a3d75d912,beleza_saude,5990.0
RJ,f40876e0ef3cd5f9132b1f16b04b1346,beleza_saude,5964.5
SP,404a57563d487aecbc2b1a01d9b89aab,cama_mesa_banho,5919.9
SP,aef8207c2e91f4fcdbc0824737abf358,beleza_saude,5799.82
SP,06edb72f1e0c64b14c5b79353f7abea3,cama_mesa_banho,5711.79999999998
SP,ffc9caf33e2d1e9f44e3e06da19085f7,beleza_saude,5609.91
SP,7612afaa8218e79b3011243ed9edea9c,esporte_lazer,5562.7
SP,3429d7e4892a2df967fae671f4c98deb,beleza_saude,5557.05
PR,9fc063fd34fed29ccc57b7f8e8d03388,beleza_saude,5550.0
SP,3e5201fe0d1ba474d9b90152c83c706c,cama_mesa_banho,5381.6
SC,628f5ed6c14790dcb9233c8dbf596175,beleza_saude,5328.0
SP,1d16c0509e7011656e03c6a582ff6667,beleza_saude,5320.0
SP,51ce083cd2b9078656a94655ab45b8a4,cama_mesa_banho,5317.4
SP,97c948ebc8c04b26b7bbb095d4228f2a,beleza_saude,5250.0
SC,b3bcd6f54c943fecf8f51e0b988e5cc9,beleza_saude,5199.6
CE,450c25d98ed6923154a934554475bf13,beleza_saude,5187.0
SP,10717ff440b2320081989126e858b220,cama_mesa_banho,5149.9
RJ,b38b25d838ae0b8385e8cc68b9017644,beleza_saude,5129.0
SP,1491a8ff192d4b5c369b0eaa2fe33ee5,cama_mesa_banho,5089.69
SP,35537536ed2b4c561b4018bf3abf54e0,esporte_lazer,4970.0
SP,43cc8e4d981bc04b9d78b12e8a908d41,beleza_saude,4960.0
SP,cb460986a447ed00da792526bf6189e4,esporte_lazer,4929.0
SP,cec09725da5ed01471d9a505e7389d37,esporte_lazer,4863.0
SP,bc74f63361c15c1a5baa5b97ac432e62,beleza_saude,4849.18
RS,830345ab5d2e365c7c6b91459119ea2d,beleza_saude,4811.56
RJ,9d8a0e115e802d845b4ce1eb794d1260,esporte_lazer,4800.0
SP,b68cf84ede4fd1e14b1740de5b727d55,beleza_saude,4557.0
RJ,64cc57332d82d99ae365b4f5f1048bd0,beleza_saude,4554.25
SP,5f19455f0c3902e89f16a6042bd4221d,beleza_saude,4543.36
SP,ca38c039b717207dec906f4fa9a21db7,beleza_saude,4516.76
SC,f6a84928571f68635beb0f5c9333c6f3,esporte_lazer,4495.0
MG,679d1a26cc192f14e7e30ae397f8b089,beleza_saude,4354.85
SP,159dc4423e5092c3baa443379a458fa9,beleza_saude,4329.96
SP,34742604f6cd1e891726b849b6890f81,esporte_lazer,4295.0
SC,11875b30b49585209e608f40e8082e65,esporte_lazer,4160.0
SP,9ad75bd7267e5c724cb42c71ac56ca72,cama_mesa_banho,4148.0
PR,b8b426747049f2d3d6e00b486d47dedb,beleza_saude,4111.61
SP,e0cf79767c5b016251fe139915c59a26,beleza_saude,4096.30000000001
SP,c6336fa91fbd87c359e44f5dca5a90ed,esporte_lazer,4019.40000000001
SP,fa381a4a9af65ea5fc8f3829214045f9,esporte_lazer,4018.8
RJ,6ef77c360c5206f18e444f0d170a3a01,beleza_saude,3974.95
SP,bd6e6fce9ada76ea2db0f1912e8e478f,cama_mesa_banho,3932.30999999999
SP,4b5e26931a0b0d3a690a3f520329a975,esporte_lazer,3850.0
