customer_id,valor_vendas,customer_state
9ef432eb6251297304e76186b10a928d,5067633.1600013,SP
9bdf08b4b3b52b5526ff42d37d47f222,1759651.12999983,RJ
d3e3b74c766bc6214e0c830b17ee2341,1552481.82999988,MG
f54a9f0e6b351c431402b8461ea51999,728897.470000022,RS
503740e9ca751ccdda7ba28e9ab8f608,666063.51000002,PR
3187789bec990987628d7a9beb4dd6ac,507012.130000007,SC
b0830fb4747a6c6d20dea0b8c802d7ef,493584.140000007,BA
8644be24d48806bc3a88fd59fb47ceb1,296498.409999998,DF
41ce2a54c0b03bf3443c3d931a367089,282836.699999996,GO
13fd7ce9f08449dec2533119379a2527,268643.449999996,ES
52142aa69d8d0e1247ab0cada0f76023,251889.489999997,PE
f5458ddc3545711efa883dd7ae7c4497,219757.379999997,CE
7d986867cfcd083f25ad4f692bd2df06,174470.589999999,PA
afb19a4b667cb708caab312757ec3d3f,152191.619999999,MT
ab4e4f11610404b4184fb812e47bb0ed,117009.38,MA
3f7d26944f7f68bd2ac23b5e8b500ab0,115429.97,MS
6772a0a230a2667d16c3620f000e1348,112586.82,PB
2569d6c5ed547bf0feaf37e32677fdaa,84721.0,PI
f88197465ea7920adcdbec7375364d82,82105.66,RN
ac7e3d34240c0ebfc003455c2e04d10a,78855.7200000001,AL
684fa6da5134b9e4dab731e00011712d,56574.1900000001,SE
5f16605299d698660e0606f7eae2d2f9,48402.5100000001,TO
c572fd6cdd98e87ea2bc433b6da21078,45682.7600000001,RO
6e8a9c87724e18b7e567193cdd3e4b45,22155.84,AM
c2cd065252fa7ad04274d9d69dd9c09e,15930.97,AC
1690401c1e48c9526a79e72ba8c069a2,13374.81,AP
761df82feda9778854c6dafdaeb567e4,7057.47,RR
