receita,seller_state
8509511.46000694,SP
1232096.99,PR
977866.310000045,MG
820611.590000023,RJ
613591.650000016,SC
373412.080000002,RS
277925.509999999,BA
94840.3099999997,DF
91164.1499999999,PE
64806.5900000003,GO
46941.6400000001,ES
36097.9800000002,MA
19517.84,CE
17007.82,MT
16395.5,PB
9992.59999999999,RN
8551.68999999999,MS
4762.2,RO
2383.0,PI
1606.2,SE
1238.0,PA
1177.0,AM
